eval_index,qpso_iter,particle,validity,uniqueness,fitness,gbest_fitness,best_v_ever,best_u_ever,qualified_v,qualified_u,alpha,stagnation,elapsed_s
0,0,0,0.5546,0.2138,0.1186,0.1186,0.5546,0.2138,0.0,0.2138,1.1961,0,10.0
1,0,1,0.7266,0.0826,0.06,0.1186,0.7266,0.2138,0.0,0.2138,1.1961,0,10.0
2,0,2,0.7854,0.0991,0.0778,0.1186,0.7854,0.2138,0.0,0.2138,1.1961,0,10.0
3,0,3,0.4924,0.1202,0.0592,0.1186,0.7854,0.2138,0.0,0.2138,1.1961,0,10.0
4,0,4,0.548,0.3004,0.1646,0.1646,0.7854,0.3004,0.0,0.3004,1.1961,0,10.0
5,0,5,0.6654,0.1329,0.0884,0.1646,0.7854,0.3004,0.0,0.3004,1.1961,0,10.0
6,0,6,0.6808,0.2494,0.1698,0.1698,0.7854,0.3004,0.0,0.3004,1.1961,0,10.0
7,0,7,0.8652,0.0196,0.017,0.1698,0.8652,0.3004,0.0,0.3004,1.1961,0,10.0
8,0,8,0.854,0.0433,0.037,0.1698,0.8652,0.3004,0.0,0.3004,1.1961,0,10.0
9,0,9,0.765,0.0455,0.0348,0.1698,0.8652,0.3004,0.0,0.3004,1.1961,0,10.0
10,0,10,0.993,0.0111,0.011,0.1698,0.993,0.3004,0.0,0.3004,1.1961,0,10.0
11,0,11,0.5452,0.0363,0.0198,0.1698,0.993,0.3004,0.0,0.3004,1.1961,0,10.0
12,0,12,0.8224,0.0783,0.0644,0.1698,0.993,0.3004,0.0,0.3004,1.1961,0,10.0
13,0,13,0.5936,0.1722,0.1022,0.1698,0.993,0.3004,0.0,0.3004,1.1961,0,10.0
14,0,14,0.6414,0.1325,0.085,0.1698,0.993,0.3004,0.0,0.3004,1.1961,0,10.0
15,0,15,0.6782,0.0286,0.0194,0.1698,0.993,0.3004,0.0,0.3004,1.1961,0,10.0
16,0,16,0.389,0.1362,0.053,0.1698,0.993,0.3004,0.0,0.3004,1.1961,0,10.0
17,0,17,0.7946,0.1868,0.1484,0.1698,0.993,0.3004,0.0,0.3004,1.1961,0,10.0
18,0,18,0.9558,0.0103,0.0098,0.1698,0.993,0.3004,0.0,0.3004,1.1961,0,10.0
19,0,19,0.8808,0.0461,0.0406,0.1698,0.993,0.3004,0.0,0.3004,1.1961,0,10.0
20,0,20,0.6542,0.1498,0.098,0.1698,0.993,0.3004,0.0,0.3004,1.1961,0,10.0
21,0,21,0.8954,0.0737,0.066,0.1698,0.993,0.3004,0.0,0.3004,1.1961,0,10.0
22,0,22,0.8534,0.0633,0.054,0.1698,0.993,0.3004,0.0,0.3004,1.1961,0,10.0
23,0,23,0.881,0.0452,0.0398,0.1698,0.993,0.3004,0.0,0.3004,1.1961,0,10.0
24,0,24,0.7314,0.1447,0.1058,0.1698,0.993,0.3004,0.0,0.3004,1.1961,0,10.0
25,0,25,0.91,0.0701,0.0638,0.1698,0.993,0.3004,0.0,0.3004,1.1961,0,10.0
26,0,26,0.681,0.0661,0.045,0.1698,0.993,0.3004,0.0,0.3004,1.1961,0,10.0
27,0,27,0.465,0.3196,0.1486,0.1698,0.993,0.3196,0.0,0.3004,1.1961,0,10.0
28,0,28,0.8048,0.0626,0.0504,0.1698,0.993,0.3196,0.0,0.3004,1.1961,0,10.0
29,0,29,0.793,0.082,0.065,0.1698,0.993,0.3196,0.0,0.3004,1.1961,0,10.0
30,0,30,0.3454,0.297,0.1026,0.1698,0.993,0.3196,0.0,0.3004,1.1961,0,10.0
31,0,31,0.9888,0.0085,0.0084,0.1698,0.993,0.3196,0.0,0.3004,1.1961,0,10.0
32,0,32,0.2492,0.256,0.0638,0.1698,0.993,0.3196,0.0,0.3004,1.1961,0,10.0
33,0,33,0.9148,0.0367,0.0336,0.1698,0.993,0.3196,0.0,0.3004,1.1961,0,10.0
34,0,34,0.9798,0.0274,0.0268,0.1698,0.993,0.3196,0.0,0.3004,1.1961,0,10.0
